date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
01/02/2018,Y60,MIDLANDS COMMISSIONING REGION,219705,927085,0,0
01/03/2018,Y56,LONDON COMMISSIONING REGION,130356,456469.39,0,0
01/03/2018,Y58,SOUTH WEST COMMISSIONING REGION,151730,409013.8,0,0
01/03/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,163913,599225.37,0,0
01/03/2018,Y62,NORTH WEST COMMISSIONING REGION,184032,775725.58,0,0
01/03/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,185417,794654.76,0,0
01/03/2018,Y59,SOUTH EAST COMMISSIONING REGION,190182,722075.18,0,0
01/03/2018,Y60,MIDLANDS COMMISSIONING REGION,241210,1054783.63,0,0
01/04/2018,Y56,LONDON COMMISSIONING REGION,124219,415782.24,0,0
01/04/2018,Y58,SOUTH WEST COMMISSIONING REGION,146714,392776.8,0,0
01/04/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,153758,540977.65,0,0
01/04/2018,Y62,NORTH WEST COMMISSIONING REGION,173371,712728.51,0,0
01/04/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,177225,754222.46,0,0
01/04/2018,Y59,SOUTH EAST COMMISSIONING REGION,181396,674884.33,0,0
01/04/2018,Y60,MIDLANDS COMMISSIONING REGION,227992,944060.02,0,0
01/05/2018,Y56,LONDON COMMISSIONING REGION,130162,425298.35,0,0
01/05/2018,Y58,SOUTH WEST COMMISSIONING REGION,150669,397996.96,0,0
01/05/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,160304,564808.1,0,0
01/05/2018,Y62,NORTH WEST COMMISSIONING REGION,181427,730438.18,0,0
01/05/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,184164,774435.19,0,0
01/05/2018,Y59,SOUTH EAST COMMISSIONING REGION,187628,703911.7,0,0
01/05/2018,Y60,MIDLANDS COMMISSIONING REGION,238518,1005267.35,0,0
01/06/2018,Y56,LONDON COMMISSIONING REGION,125165,440314.5,0,0
01/06/2018,Y58,SOUTH WEST COMMISSIONING REGION,145563,384022.52,0,0
01/06/2018,Y61,EAST OF ENGLAND COMMISSIONING REGION,155225,557469.68,0,0
01/06/2018,Y62,NORTH WEST COMMISSIONING REGION,175125,717246.38,0,0
01/06/2018,Y63,NORTH EAST AND YORKSHIRE COMMISSIONING REGION,178093,754445.82,0,0
01/06/2018,Y59,SOUTH EAST COMMISSIONING REGION,181640,690673.62,0,0
